data;ano;mes
20200901;2020;9
20200902;2020;9
20200903;2020;9
20200904;2020;9
20200905;2020;9
20200906;2020;9
20200907;2020;9
20200908;2020;9
20200909;2020;9
20200910;2020;9
20200911;2020;9
20200912;2020;9
20200913;2020;9
20200914;2020;9
20200915;2020;9
20200916;2020;9
20200917;2020;9
20200918;2020;9
20200919;2020;9
20200920;2020;9
20200921;2020;9
20200922;2020;9
20200923;2020;9
20200924;2020;9
20200925;2020;9
20200926;2020;9
20200927;2020;9
20200928;2020;9
20200929;2020;9
20200930;2020;9
20201001;2020;10
20201002;2020;10
20201003;2020;10
20201004;2020;10
20201005;2020;10
20201006;2020;10
20201007;2020;10
20201008;2020;10
20201009;2020;10
20201010;2020;10
20201011;2020;10
20201012;2020;10
20201013;2020;10
20201014;2020;10
20201015;2020;10
20201016;2020;10
20201017;2020;10
20201018;2020;10
20201019;2020;10
20201020;2020;10
20201021;2020;10
20201022;2020;10
20201023;2020;10
20201024;2020;10
20201025;2020;10
20201026;2020;10
20201027;2020;10
20201028;2020;10
20201029;2020;10
20201030;2020;10
20201031;2020;10
20201101;2020;11
20201102;2020;11
20201103;2020;11
20201104;2020;11
20201105;2020;11
20201106;2020;11
20201107;2020;11
20201108;2020;11
20201109;2020;11
20201110;2020;11
20201111;2020;11
20201112;2020;11
20201113;2020;11
20201114;2020;11
20201115;2020;11
20201116;2020;11
20201117;2020;11
20201118;2020;11
20201119;2020;11
20201120;2020;11
20201121;2020;11
20201122;2020;11
20201123;2020;11
20201124;2020;11
20201125;2020;11
20201126;2020;11
20201127;2020;11
20201128;2020;11
20201129;2020;11
20201130;2020;11
20201201;2020;12
20201202;2020;12
20201203;2020;12
20201204;2020;12
20201205;2020;12
20201206;2020;12
20201207;2020;12
20201208;2020;12
20201209;2020;12
20201210;2020;12
20201211;2020;12
20201212;2020;12
20201213;2020;12
20201214;2020;12
20201215;2020;12
20201216;2020;12
20201217;2020;12
20201218;2020;12
20201219;2020;12
20201220;2020;12
20201221;2020;12
20201222;2020;12
20201223;2020;12
20201224;2020;12
20201225;2020;12
20201226;2020;12
20201227;2020;12
20201228;2020;12
20201229;2020;12
20201230;2020;12
20201231;2020;12
20210101;2021;1
20210102;2021;1
20210103;2021;1
20210104;2021;1
20210105;2021;1
20210106;2021;1
20210107;2021;1
20210108;2021;1
20210109;2021;1
20210110;2021;1
20210111;2021;1
20210112;2021;1
20210113;2021;1
20210114;2021;1
20210115;2021;1
20210116;2021;1
20210117;2021;1
20210118;2021;1
20210119;2021;1
20210120;2021;1
20210121;2021;1
20210122;2021;1
20210123;2021;1
20210124;2021;1
20210125;2021;1
20210126;2021;1
20210127;2021;1
20210128;2021;1
20210129;2021;1
20210130;2021;1
20210131;2021;1
20210201;2021;2
20210202;2021;2
20210203;2021;2
20210204;2021;2
20210205;2021;2
20210206;2021;2
20210207;2021;2
20210208;2021;2
20210209;2021;2
20210210;2021;2
20210211;2021;2
20210212;2021;2
20210213;2021;2
20210214;2021;2
20210215;2021;2
20210216;2021;2
20210217;2021;2
20210218;2021;2
20210219;2021;2
20210220;2021;2
20210221;2021;2
20210222;2021;2
20210223;2021;2
20210224;2021;2
20210225;2021;2
20210226;2021;2
20210227;2021;2
20210228;2021;2
20210301;2021;3
20210302;2021;3
20210303;2021;3
20210304;2021;3
20210305;2021;3
20210306;2021;3
20210307;2021;3
20210308;2021;3
20210309;2021;3
20210310;2021;3
20210311;2021;3
20210312;2021;3
20210313;2021;3
20210314;2021;3
20210315;2021;3
20210316;2021;3
20210317;2021;3
20210318;2021;3
20210319;2021;3
20210320;2021;3
20210321;2021;3
20210322;2021;3
20210323;2021;3
20210324;2021;3
20210325;2021;3
20210326;2021;3
20210327;2021;3
20210328;2021;3
20210329;2021;3
20210330;2021;3
20210331;2021;3
20210401;2021;4
20210402;2021;4
20210403;2021;4
20210404;2021;4
20210405;2021;4
20210406;2021;4
20210407;2021;4
20210408;2021;4
20210409;2021;4
20210410;2021;4
20210411;2021;4
20210412;2021;4
20210413;2021;4
20210414;2021;4
20210415;2021;4
20210416;2021;4
20210417;2021;4
20210418;2021;4
20210419;2021;4
20210420;2021;4
20210421;2021;4
20210422;2021;4
20210423;2021;4
20210424;2021;4
20210425;2021;4
20210426;2021;4
20210427;2021;4
20210428;2021;4
20210429;2021;4
20210430;2021;4
20210501;2021;5
20210502;2021;5
20210503;2021;5
20210504;2021;5
20210505;2021;5
20210506;2021;5
20210507;2021;5
20210508;2021;5
20210509;2021;5
20210510;2021;5
20210511;2021;5
20210512;2021;5
20210513;2021;5
20210514;2021;5
20210515;2021;5
20210516;2021;5
20210517;2021;5
20210518;2021;5
20210519;2021;5
20210520;2021;5
20210521;2021;5
20210522;2021;5
20210523;2021;5
20210524;2021;5
20210525;2021;5
20210526;2021;5
20210527;2021;5
20210528;2021;5
20210529;2021;5
20210530;2021;5
20210531;2021;5
20210601;2021;6
20210602;2021;6
20210603;2021;6
20210604;2021;6
20210605;2021;6
20210606;2021;6
20210607;2021;6
20210608;2021;6
20210609;2021;6
20210610;2021;6
20210611;2021;6
20210612;2021;6
20210613;2021;6
20210614;2021;6
20210615;2021;6
20210616;2021;6
20210617;2021;6
20210618;2021;6
20210619;2021;6
20210620;2021;6
20210621;2021;6
20210622;2021;6
20210623;2021;6
20210624;2021;6
20210625;2021;6
20210626;2021;6
20210627;2021;6
20210628;2021;6
20210629;2021;6
20210630;2021;6
20210701;2021;7
20210702;2021;7
20210703;2021;7
20210704;2021;7
20210705;2021;7
20210706;2021;7
20210707;2021;7
20210708;2021;7
20210709;2021;7
20210710;2021;7
20210711;2021;7
20210712;2021;7
20210713;2021;7
20210714;2021;7
20210715;2021;7
20210716;2021;7
20210717;2021;7
20210718;2021;7
20210719;2021;7
20210720;2021;7
20210721;2021;7
20210722;2021;7
20210723;2021;7
20210724;2021;7
20210725;2021;7
20210726;2021;7
20210727;2021;7
20210728;2021;7
20210729;2021;7
20210730;2021;7
20210731;2021;7
20210801;2021;8
20210802;2021;8
20210803;2021;8
20210804;2021;8
20210805;2021;8
20210806;2021;8
20210807;2021;8
20210808;2021;8
20210809;2021;8
20210810;2021;8
20210811;2021;8
20210812;2021;8
20210813;2021;8
20210814;2021;8
20210815;2021;8
20210816;2021;8
20210817;2021;8
20210818;2021;8
20210819;2021;8
20210820;2021;8
20210821;2021;8
20210822;2021;8
20210823;2021;8
20210824;2021;8
20210825;2021;8
20210826;2021;8
20210827;2021;8
20210828;2021;8
20210829;2021;8
20210830;2021;8
20210831;2021;8
